,brand_name,shirt_name,price,percentageoff,flipkart_assured,deal
62,HADAR,Men Graphic Print Round Neck Cotton Blend Black T-Shirt,₹236,88% off,,Only few left
63,UrGear,Men Solid Round Neck Cotton Blend Red T-Shirt,₹212,78% off,,
64,Fabfashion,Men Printed Round Neck Cotton Blend Purple T-Shirt,₹203,79% off,,Only few left
65,WOXEN,Men Regular Fit Checkered Spread Collar Casual Shirt,₹340,86% off,,Hot Deal
66,METRONAUT,Men Regular Fit Self Design Spread Collar Casual Shirt,₹266,82% off,,Hot Deal
67,UNNIBERRY,Men Striped Polo Neck Cotton Blend Light Blue T-Shirt,₹378,74% off,,Hot Deal
68,Jai Textiles,Men Slim Fit Checkered Spread Collar Casual Shirt,₹340,82% off,,Hot Deal
69,MAA UMA,Men Regular Fit Self Design Spread Collar Casual Shirt,₹385,70% off,,Hot Deal
70,HADAR,Men Graphic Print Round Neck Cotton Blend Brown T-Shirt,₹240,87% off,,Hot Deal
71,annnackel,Men Graphic Print Round Neck Pure Cotton Grey T-Shirt,₹199,86% off,,Hot Deal
72,Crazybee,Men Graphic Print Round Neck Pure Cotton Beige T-Shirt,₹215,78% off,,Hot Deal
73,Beaumen,"Men Printed, Typography, Graphic Print Round Neck Cotto...",₹225,88% off,,Hot Deal
74,CAMPUS SUTRA,Men Regular Fit Checkered Spread Collar Casual Shirt,₹479,70% off,,Hot Deal
75,SHOOLIN,Men Regular Fit Self Design Spread Collar Casual Shirt,₹316,84% off,,Hot Deal
76,SIXTEENLINES,Men Printed Round Neck Pure Cotton Black T-Shirt,₹170,82% off,,Hot Deal
77,TripBroz,Men Printed Round Neck Cotton Blend Maroon T-Shirt,₹208,86% off,,Hot Deal
78,NAUGHTY MEN,Men Printed Round Neck Pure Cotton Multicolor T-Shirt,₹275,81% off,,Hot Deal
79,NAUGHTY MEN,Men Typography Round Neck Pure Cotton White T-Shirt,₹178,89% off,,Hot Deal
80,COMBRAIDED,Men Regular Fit Self Design Cut Away Collar Casual Shir...,₹258,82% off,,Hot Deal
81,Triptee,Men Printed Round Neck Pure Cotton Silver T-Shirt,₹150,84% off,,Only few left
82,HEATHEX,Men Printed Round Neck Pure Cotton Purple T-Shirt,₹369,70% off,,Only few left
83,HIPOP,Men Printed Round Neck Reversible Pure Cotton Black T-S...,₹258,82% off,,Hot Deal
84,RetroTees,Men Printed Round Neck Cotton Blend Maroon T-Shirt,₹212,88% off,,Hot Deal
85,Crazybee - CB,Men Printed Round Neck Cotton Blend Black T-Shirt,₹233,76% off,,Only few left
86,Crazybee - CB,Men Graphic Print Round Neck Cotton Blend Black T-Shirt,₹190,80% off,,Hot Deal
87,RetroTees,Men Printed Round Neck Cotton Blend Black T-Shirt,₹170,90% off,,Hot Deal
88,CAMPUS SUTRA,Men Regular Fit Checkered Spread Collar Casual Shirt,₹949,50% off,,Only few left
89,COMBRAIDED,Men Slim Fit Solid Cut Away Collar Casual Shirt,₹199,90% off,,Hot Deal
90,RetroTees,Men Graphic Print Round Neck Cotton Blend Green T-Shirt,₹215,87% off,,Only few left
91,RetroTees,Men Graphic Print Round Neck Cotton Blend Maroon T-Shir...,₹215,87% off,,Only 3 left
92,Jump Cuts,"Men Typography Round Neck Cotton Blend White, Dark Blue...",₹270,80% off,,Hot Deal
93,Leotude,Men Printed Round Neck Cotton Blend Beige T-Shirt,₹299,72% off,,Only few left
94,Zoitgiest,Men Regular Fit Printed Spread Collar Casual Shirt,₹249,80% off,,Hot Deal
95,TRANZMOG,Men Printed Round Neck Cotton Blend Black T-Shirt,₹231,74% off,,Hot Deal
96,Lyphy,Men Regular Fit Self Design Spread Collar Casual Shirt,₹280,85% off,,Hot Deal
97,Jai Textiles,Men Slim Fit Checkered Spread Collar Casual Shirt,₹326,82% off,,Only few left
98,CAZZBA,Men Regular Fit Solid Cut Away Collar Casual Shirt,₹378,81% off,,Only few left
99,Crazybee - CB,Men Graphic Print Round Neck Cotton Blend Beige T-Shirt,₹220,77% off,,Only few left
100,CAMPUS SUTRA,Men Self Design Polo Neck Polycotton White T-Shirt,₹594,65% off,,Hot Deal
101,LGR FASHION,Men Printed Round Neck Cotton Blend Maroon T-Shirt,₹218,88% off,,Hot Deal
102,LGR FASHION,Men Printed Round Neck Cotton Blend Black T-Shirt,₹205,89% off,,Only few left
103,Smosh,Men Printed Round Neck Cotton Blend Brown T-Shirt,₹230,88% off,,Hot Deal
104,Jump Cuts,"Men Printed, Typography Round Neck Cotton Blend Green T...",₹206,82% off,,Hot Deal
105,JACKBELLA,Men Regular Fit Self Design Spread Collar Casual Shirt,₹280,81% off,,Hot Deal
106,INDICLUB,Men Regular Fit Self Design Spread Collar Formal Shirt,₹408,59% off,,Only few left
107,Smosh,Men Printed Round Neck Cotton Blend Black T-Shirt,₹230,88% off,,Hot Deal
108,JACKBELLA,Men Regular Fit Striped Spread Collar Casual Shirt,₹240,83% off,,Hot Deal
109,RODEIZ,Men Slim Fit Striped Spread Collar Casual Shirt,₹255,76% off,,Hot Deal
110,Cool Plus,Men Printed Round Neck Cotton Blend Black T-Shirt,₹247,75% off,,Hot Deal
111,Jump Cuts,"Men Printed, Typography Round Neck Cotton Blend Maroon ...",₹211,82% off,,Only few left
112,THREEMINDS,"Men Printed, Typography Round Neck Cotton Blend Black, ...",₹197,80% off,,Only few left
113,Manlino,Men Printed Round Neck Pure Cotton Black T-Shirt,₹250,74% off,,Hot Deal
114,Veirdo,"Oversized Men Printed, Typography Round Neck Pure Cotto...",₹399,66% off,,Hot Deal
115,KASPY,Men Printed Round Neck Polyester Orange T-Shirt,₹135,72% off,,Hot Deal
116,Conway,Men Printed Round Neck Cotton Blend White T-Shirt,₹216,67% off,,Hot Deal
117,BRIGHTKTAFT,Men Printed Round Neck Cotton Blend Beige T-Shirt,₹208,73% off,,Hot Deal
118,URBAN BUCCACHI,Men Regular Fit Striped Lapel Collar Casual Shirt,₹232,88% off,,Hot Deal
119,Wayup,Men Solid Round Neck Cotton Blend Black T-Shirt,₹247,75% off,,Hot Deal
120,Jump Cuts,"Men Printed, Typography Round Neck Cotton Blend Black, ...",₹240,84% off,,Hot Deal
121,Smosh,Men Printed Round Neck Cotton Blend Black T-Shirt,₹240,87% off,,Hot Deal
122,Heartees,Men Graphic Print Round Neck Cotton Blend Black T-Shirt,₹230,87% off,,Hot Deal
123,JOCKEY,2715 Men Striped Round Neck Cotton Blend Navy Blue T-Sh...,₹699,,,"Buy 2 items, save extra 5%"
124,CAMPUS SUTRA,Men Solid Round Neck Polyester Black T-Shirt,₹408,65% off,,Only few left
125,BQF,Men Printed Round Neck Cotton Blend Black T-Shirt,₹246,75% off,,Hot Deal
126,METRONAUT,Men Regular Fit Solid Spread Collar Casual Shirt,₹273,80% off,,Hot Deal
127,Veirdo,"Oversized Men Printed, Typography Round Neck Pure Cotto...",₹429,64% off,,Hot Deal
128,Kook N Keech Disney,Men Oversized Fit Printed Party Shirt,₹569,75% off,,Only few left
129,Jump Cuts,Men Typography Round Neck Cotton Blend Purple T-Shirt,₹221,85% off,,Hot Deal
130,RED CLOVER,Men Printed Hooded Neck Pure Cotton Black T-Shirt,₹227,88% off,,Hot Deal
131,SGA FASION,Men Printed Round Neck Reversible Cotton Blend Black T-...,₹385,61% off,,Only 5 left
132,ENITOR,Men Printed Round Neck Cotton Blend Green T-Shirt,₹246,87% off,,Only few left
133,Garmin,Men Graphic Print Round Neck Pure Cotton Black T-Shirt,₹240,81% off,,Only few left
134,annnackel,Men Graphic Print Round Neck Cotton Blend Black T-Shirt,₹178,88% off,,Only few left
135,ENITOR,Men Printed Round Neck Cotton Blend Dark Blue T-Shirt,₹256,82% off,,Only few left
136,AUSK,Men Graphic Print Round Neck Cotton Blend Black T-Shirt,₹238,84% off,,Only few left
137,Benny Brooks,Men Graphic Print Round Neck Cotton Blend Black T-Shirt,₹325,70% off,,Only few left
138,Jump Cuts,Men Typography Round Neck Cotton Blend Beige T-Shirt,₹232,83% off,,Hot Deal
139,hkCreation,Men Typography Round Neck Cotton Blend Pink T-Shirt,₹305,61% off,,Hot Deal
140,WOXEN,Men Regular Fit Checkered Spread Collar Casual Shirt,₹340,86% off,,Hot Deal
141,Povaxpo,Men Graphic Print Round Neck Cotton Blend Navy Blue T-S...,₹241,75% off,,Only few left
142,THEBOYS,Men Printed Round Neck Cotton Blend Purple T-Shirt,₹163,85% off,,Only few left
143,Smosh,Men Printed Round Neck Cotton Blend Black T-Shirt,₹235,88% off,,Hot Deal
144,Jump Cuts,Men Printed Round Neck Cotton Blend Black T-Shirt,₹217,86% off,,Hot Deal
145,Kook N Keech,Men Striped Round Neck Pure Cotton Black T-Shirt,₹273,69% off,,Only few left
146,Force,Men Graphic Print Round Neck Polyester Grey T-Shirt,₹217,89% off,,Hot Deal
147,HKV FASHION,Men Regular Fit Striped Spread Collar Casual Shirt,₹240,87% off,,Hot Deal
148,Lyphy,Men Regular Fit Self Design Spread Collar Casual Shirt,₹280,85% off,,Hot Deal
149,BEING WANTED,"Men Solid Round Neck Pure Cotton Black, White T-Shirt",₹431,74% off,,Hot Deal
150,Force,Men Graphic Print Round Neck Polyester Black T-Shirt,₹222,88% off,,Hot Deal
151,JACK & JONES,Men Solid Crew Neck Cotton Blend Pink T-Shirt,₹974,35% off,,Hot Deal
152,Force,Men Printed Round Neck Cotton Blend Blue T-Shirt,₹217,89% off,,Hot Deal
153,HERE&NOW,Men Regular Fit Solid Casual Shirt,₹539,71% off,,
154,Smosh,Men Printed Round Neck Cotton Blend Black T-Shirt,₹231,88% off,,Hot Deal
155,CLOFLIX,Men Solid Round Neck Cotton Blend Black T-Shirt,₹174,82% off,,Hot Deal
156,DRIFTH,Men Graphic Print Round Neck Pure Cotton Black T-Shirt,₹247,75% off,,Only few left
157,MOXTE,Men Relaxed Fit Fit Printed Spread Collar Casual Shirt,₹440,78% off,,Only few left
158,BEWAKOOF,Men Solid Round Neck Pure Cotton White T-Shirt,₹399,60% off,,Hot Deal
159,Smosh,Men Printed Round Neck Cotton Blend Brown T-Shirt,₹230,88% off,,Hot Deal
